me.cx.vy.ct.ce.rg.ul.UploadStream	VOXY_PERF upload_stream coherent=true buffer_bytes=67108864 used_bytes=5536 remaining_bytes=67103328 threshold_bytes=8388608 queued_frames=1 pending_copies=0 glfinish_stalls=0 backpressure_observations=0
me.cx.vy.ct.ce.rg.hl.AsyncNodeManager	VOXY_PERF async_node copy_batches=1330 avg_copy_batch=63 max_copy_batch=424 copy_dispatch_batches=1412 avg_copy_dispatched_per_tick=59 max_copy_dispatched_per_tick=256 pending_copy_remaining=0 pending_result_age_ticks=0 sync_wait_events=241 result_copy_entries=8 result_scatter_entries=16 request_inflight_deferred=12 request_rerun_executed=12 copy_budget_per_tick=256 chunked_copy_enabled=true sync_wait_threshold_copies=320 warn_threshold_copies=500
me.cx.vy.ct.ce.rg.ul.UploadStream	VOXY_PERF upload_stream coherent=true buffer_bytes=67108864 used_bytes=3280 remaining_bytes=67105584 threshold_bytes=8388608 queued_frames=1 pending_copies=0 glfinish_stalls=0 backpressure_observations=0
me.cx.vy.ct.ce.rg.hl.AsyncNodeManager	VOXY_PERF async_node copy_batches=1355 avg_copy_batch=62 max_copy_batch=424 copy_dispatch_batches=1437 avg_copy_dispatched_per_tick=58 max_copy_dispatched_per_tick=256 pending_copy_remaining=0 pending_result_age_ticks=0 sync_wait_events=241 result_copy_entries=8 result_scatter_entries=16 request_inflight_deferred=12 request_rerun_executed=12 copy_budget_per_tick=256 chunked_copy_enabled=true sync_wait_threshold_copies=320 warn_threshold_copies=500
me.cx.vy.ct.ce.rg.ul.UploadStream	VOXY_PERF upload_stream coherent=true buffer_bytes=67108864 used_bytes=3280 remaining_bytes=67105584 threshold_bytes=8388608 queued_frames=1 pending_copies=0 glfinish_stalls=0 backpressure_observations=0
me.cx.vy.ct.ce.rg.hl.AsyncNodeManager	VOXY_PERF async_node copy_batches=1379 avg_copy_batch=61 max_copy_batch=424 copy_dispatch_batches=1461 avg_copy_dispatched_per_tick=57 max_copy_dispatched_per_tick=256 pending_copy_remaining=0 pending_result_age_ticks=0 sync_wait_events=241 result_copy_entries=8 result_scatter_entries=16 request_inflight_deferred=12 request_rerun_executed=12 copy_budget_per_tick=256 chunked_copy_enabled=true sync_wait_threshold_copies=320 warn_threshold_copies=500
me.cx.vy.ct.ce.rg.ul.UploadStream	VOXY_PERF upload_stream coherent=true buffer_bytes=67108864 used_bytes=3280 remaining_bytes=67105584 threshold_bytes=8388608 queued_frames=1 pending_copies=0 glfinish_stalls=0 backpressure_observations=0
me.cx.vy.ct.ce.rg.hl.AsyncNodeManager	VOXY_PERF async_node copy_batches=1402 avg_copy_batch=60 max_copy_batch=424 copy_dispatch_batches=1484 avg_copy_dispatched_per_tick=56 max_copy_dispatched_per_tick=256 pending_copy_remaining=0 pending_result_age_ticks=0 sync_wait_events=241 result_copy_entries=8 result_scatter_entries=16 request_inflight_deferred=12 request_rerun_executed=12 copy_budget_per_tick=256 chunked_copy_enabled=true sync_wait_threshold_copies=320 warn_threshold_copies=500
me.cx.vy.ct.ce.rg.ul.UploadStream	VOXY_PERF upload_stream coherent=true buffer_bytes=67108864 used_bytes=9840 remaining_bytes=67099024 threshold_bytes=8388608 queued_frames=2 pending_copies=0 glfinish_stalls=0 backpressure_observations=0
me.cx.vy.cn.wd.WorldSection	VOXY_PERF world_section_cache pool_size=21 allocations=178029 hits=175959 misses=2070 offers=175980 rejects=0 hit_pct=98.83
